date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source
260329,184.97,EUR,Iberia,0,105,2026-03-29T09:50:00,2026-03-29T12:35:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,282.42,EUR,Royal Air Maroc,0,110,2026-03-29T12:30:00,2026-03-29T15:20:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,222.99,EUR,Royal Air Maroc,0,105,2026-03-29T17:55:00,2026-03-29T20:40:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,280.0,EUR,Royal Air Maroc,0,105,2026-03-29T16:25:00,2026-03-29T19:10:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260329,305.97,EUR,Iberia,0,105,2026-03-29T16:25:00,2026-03-29T19:10:00,CMN,MAD,2026-03-13T16:20:30.491154,unified-search
260330,55.56,EUR,Iberia,0,105,2026-03-30T17:55:00,2026-03-30T20:40:00,CMN,MAD,2026-03-13T16:20:42.733825,unified-search
260330,93.99,EUR,Royal Air Maroc,0,105,2026-03-30T09:50:00,2026-03-30T12:35:00,CMN,MAD,2026-03-13T16:20:42.733825,unified-search
260330,92.97,EUR,Iberia,0,110,2026-03-30T12:30:00,2026-03-30T15:20:00,CMN,MAD,2026-03-13T16:20:42.733825,unified-search
260330,93.99,EUR,Royal Air Maroc,0,105,2026-03-30T16:25:00,2026-03-30T19:10:00,CMN,MAD,2026-03-13T16:20:42.733825,unified-search
260330,61.0,EUR,Vueling Airlines,0,105,2026-03-30T17:55:00,2026-03-30T20:40:00,CMN,MAD,2026-03-13T16:20:42.733825,unified-search
